title,publication date,source,publication process,DOI,GBIF
Florabank1 - A grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region),2011-08-17,http://dataset.inbo.be/florabank1-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/florabank1-occurrences,http://doi.org/10.3897/phytokeys.12.2849,http://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1
"TestWat - Macroinvertebrates and macrophytes of freshwater bodies in Flanders, Belgium",2011-08-18,http://dataset.inbo.be/testwat-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/testwat-occurrences,http://doi.org/10.15468/xzpcvv,http://www.gbif.org/dataset/66178162-01dc-4133-9b3c-83265481c383
Belgian Coccinellidae - Ladybird beetles in Belgium (INBO subset),2012-06-05,http://dataset.inbo.be/belgian-coccinellidae-inbo-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/belgian-coccinellidae-inbo-occurrences,,http://www.gbif.org/dataset/42319b8f-9b9d-448d-969f-656792a69176
Trekvis - Migratory fishes in the river Scheldt,2012-07-19,http://dataset.inbo.be/trekvis-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/trekvis-occurrences,,http://www.gbif.org/dataset/b2d0f29e-4614-4001-93c8-f651878a86d2
"Visherintroductie - Reintroduction of the fishes chub, dace, burbot, and brown trout in Flanders, Belgium",2012-09-27,http://dataset.inbo.be/visherintroductie-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/visherintroductie-occurrences,,http://www.gbif.org/dataset/45157d5f-7eb9-42b8-8d70-66482fdd912f
"Visdoorgangen - Fish passage places in Flanders, Belgium",2012-10-03,http://dataset.inbo.be/visdoorgangen-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/visdoorgangen-occurrences,,http://www.gbif.org/dataset/5d637678-cb64-4863-a12b-78b4e1a56628
Visfauna - Juvenile and adult fishes in riparian habitats along the river Leie,2013-01-10,http://dataset.inbo.be/visfauna-leie-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/visfauna-leie-occurrences,,http://www.gbif.org/dataset/08a4ed1f-8586-4437-b3c9-95989eb40fd4
Visfauna - Juvenile and adult fishes in riparian habitats along the river Yser,2013-01-10,http://dataset.inbo.be/visfauna-ijzer-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/visfauna-ijzer-occurrences,,http://www.gbif.org/dataset/0ac24b3c-feb9-48d5-bf02-da4a103f024e
Glasaalmigratie - Glass eels migration in the river Yser,2013-01-10,http://dataset.inbo.be/glasaalmigratie-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/glasaalmigratie-occurrences,http://doi.org/10.15468/cynpxv,http://www.gbif.org/dataset/67fa6403-d5c3-401b-b35d-ec70538ea41d
"Depletion Fishing in the river ""Grote Nete"" and ""Kleine Nete"" (1989-1996)",2013-05-05,http://dataset.inbo.be/depletion-fishing-nete-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/depletion-fishing-nete-occurrences,,http://www.gbif.org/dataset/40e9743f-8db3-4732-8c85-c4ca96596409
"Loopkevers Grensmaas - Ground beetles near the river Meuse in Flanders, Belgium",2013-06-11 ,http://dataset.inbo.be/kevers-grensmaas-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/kevers-grensmaas-occurrences,,http://www.gbif.org/dataset/f4230399-51b8-4862-8991-93d6ba11406f
Saltabel - Orthoptera in Belgium,2013-09-13,http://dataset.inbo.be/saltabel-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/saltabel-occurrences,,http://www.gbif.org/dataset/76cc7230-76b6-4763-9caf-22626b29c0a6
"VIS - Fishes in inland waters in Flanders, Belgium",2013-12-20,http://dataset.inbo.be/vis-inland-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/vis-inland-occurrences,,http://www.gbif.org/dataset/823dc56e-f987-495c-98bf-43318719e30f
"VIS - Fishes in estuarine waters in Flanders, Belgium",2014-04-02,http://dataset.inbo.be/vis-estuarine-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/vis-estuarine-occurrences,,http://www.gbif.org/dataset/274a36be-0626-41c1-a757-3064e05811a4
"Red list of dragonflies in Flanders, Belgium",2014-05-06,http://dataset.inbo.be/rl-libellen-checklist,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/rl-libellen-checklist,,http://www.gbif.org/dataset/72aa797d-42a4-4176-9e19-5b3ddd551b79
Bird tracking - GPS tracking of Lesser Black-backed Gull and Herring Gull breeding at the Belgian coast,2014-06-18,http://dataset.inbo.be/bird-tracking-gull-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/bird-tracking-gull-occurrences,http://doi.org/10.15468/02omly,http://www.gbif.org/dataset/83e20573-f7dd-4852-9159-21566e1e691e
"Watervogels - Wintering waterbirds in Flanders, Belgium",2014-11-27,http://dataset.inbo.be/watervogels-occurrences,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/watervogels-occurrences,http://doi.org/10.15468/lj0udq,http://www.gbif.org/dataset/7f9eb622-c036-44c6-8be9-5793eaa1fa1e
Bird tracking - GPS tracking of Western Marsh Harrier breeding near the Belgium-Netherlands border,,,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/bird-tracking-wmh-occurrences,,
SAS - Seabirds at sea monitoring in the Belgian part of the North Sea,,,,,
"Broedvogel - Atlas of breeding birds in Flanders, Belgium (2000-2002)",,,https://github.com/LifeWatchINBO/data-publication/tree/master/datasets/broedvogel-atlas-occurrences,,
"Invasive species - Summering geese (Anserinae) in Flanders, Belgium",,,,,
"Invasive species - American bullfrog (Rana catesbeiana) in Flanders, Belgium",,,,,
"Invasive species - Raccoon (Procyon lotor) in Flanders, Belgium",,,,,
"Invasive species - Muntjac (Muntiacus reevesi) in Flanders, Belgium",,,,,
"Invasive species - Chinese mitten crab (Eriocheir sinensis) in Flanders, Belgium",,,,,
"Invasive species - Ruddy duck (Oxyura jamaicensis) in Flanders, Belgium",,,,,
