UniqueID,TaxonomicGroup,YearPublished,Kingdom,verbatimScientificName,scientificName,gbifapi_species,vernacularname,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus,RLC code Translated term,gbifapi_matchType,gbifapi_usageKey
INBO:RL:NONVAL:AMP:1996:8,Amphibians,1996,Animalia,Rana esculenta synklepton,"Pelophylax esculentus (Linnaeus, 1758)",,Groene kikker,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE_done,
INBO:RL:NONVAL:ANT:2013:39,Ants,2003,Animalia,Formica rufa x polyctena,,,hybride van Formica rufa-complex,Bedreigd maar mate waarin ongekend,DD(PT),,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN) uncertain rate,Endangered (EN) uncertain rate / DD(PT),NONE_done,
INBO:RL:NONVAL:ANT:2013:80,Ants,2003,Animalia,Stenamma westwoodi,Stenamma westwoodii,Stenamma westwoodii,Engelse drentelmier,Bedreigd maar mate waarin ongekend,DD(PT),,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN) uncertain rate,Endangered (EN) uncertain rate / DD(PT),FUZZY_done,1316667
INBO:RL:NONVAL:BIR:1999:145,BreedingBirds,1999,Animalia,Saxicola torquata,Saxicola torquatus,Saxicola torquatus,Roodborsttapuit,Bedreigd,EN,LC,ExpertJudgement,DevosAnselin_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,FUZZY_done,2492526
INBO:RL:NONVAL:CAR:1995:1012,CarabidBeetles,1995,Animalia,Masoreus wetterhali,Masoreus wetterhallii,Masoreus wetterhallii,Duinloper,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,4471202
INBO:RL:NONVAL:CAR:1995:1052,CarabidBeetles,1995,Animalia,Pterostichus longicollis,"Pterostichus longicollis (Duftschmid, 1812)",,Langnekzwartschild,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Pterostichus longicollis,
INBO:RL:NONVAL:CAR:1995:1076,CarabidBeetles,1995,Animalia,Tachys parvulus,Elaphropus parvulus,,Zwart knotje,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE_done,
INBO:RL:NONVAL:CAR:1995:1077,CarabidBeetles,1995,Animalia,Tachys quadrisignatus,"Elaphropus quadrisignatus
",,Viervlekknotje,Waarschijnlijk bedreigd,DD(PT),,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Probably Endangered,Probably Endangered / DD(PT),NONE_done,
INBO:RL:NONVAL:CAR:1995:739,CarabidBeetles,1995,Animalia,Agonum dorsale,Anchomenus dorsalis,,Akkersnelloper,Momenteel niet bedreigd,LC,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE_done,
INBO:RL:NONVAL:CAR:1995:751,CarabidBeetles,1995,Animalia,Agonum obscurum,Oxypselaphus obscurus,,Smalhalssnelloper,Momenteel niet bedreigd,LC,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE Multiple equal matches for Agonum obscurum,
INBO:RL:NONVAL:CAR:1995:814,CarabidBeetles,1995,Animalia,Bembidion atrocoeruleum,"Bembidion atrocaeruleum
",,Blauwe priemkever,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE_done,
INBO:RL:NONVAL:CAR:1995:818,CarabidBeetles,1995,Animalia,Bembidion clarki,Bembidion clarkii,Bembidion clarkii,Atlantische priemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,8047965
INBO:RL:NONVAL:CAR:1995:839,CarabidBeetles,1995,Animalia,Bembidion mannerheimi,Bembidion mannerheimii,Bembidion mannerheimii,Moerasbospriemkever,Momenteel niet bedreigd,LC,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,FUZZY_done,6097867
INBO:RL:NONVAL:CAR:1995:840,CarabidBeetles,1995,Animalia,Bembidion maritimum,"Bembidion maritimum (Motschulsky, 1850)",,Brakwaterpriemkever,Bedreigd,EN,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,NONE Multiple equal matches for Bembidion maritimum,
INBO:RL:NONVAL:CAR:1995:855,CarabidBeetles,1995,Animalia,Bembidion quinquestriatum,Ocys quinquestriatus,,Muurpriemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE_done,
INBO:RL:NONVAL:CAR:1995:858,CarabidBeetles,1995,Animalia,Bembidion stephensi,Bembidion stephensii,Bembidion stephensii,Grote leempriemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,6097890
INBO:RL:NONVAL:CAR:1995:865,CarabidBeetles,1995,Animalia,Bembidion velox,"Bembidion velox Erichson, 1837",,Snelle priemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE Multiple equal matches for Bembidion velox,
INBO:RL:NONVAL:CAR:1995:888,CarabidBeetles,1995,Animalia,Calosoma maderae auropunctatum,Calosoma auropunctatum,,Goudpuntpoppenrover,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE_done,
INBO:RL:NONVAL:CAR:1995:967,CarabidBeetles,1995,Animalia,Harpalus azureus,Ophonus azureus ,,Azuurblauwe halmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus azureus,
INBO:RL:NONVAL:CAR:1995:968,CarabidBeetles,1995,Animalia,Harpalus cordatus,"Harpalus cordatus (LeConte, 1853)",,Duinhalmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus cordatus,
INBO:RL:NONVAL:CAR:1995:972,CarabidBeetles,1995,Animalia,Harpalus froelichi,Harpalus froelichii,Harpalus froelichii,Schraallandkruiper,Bedreigd,EN,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,FUZZY_done,6097925
INBO:RL:NONVAL:CAR:1995:978,CarabidBeetles,1995,Animalia,Harpalus melleti,Ophonus melletii,Ophonus melletii,Variabele halmklimmer,Waarschijnlijk bedreigd,DD(PT),,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Probably Endangered,Probably Endangered / DD(PT),FUZZY_done,8470475
INBO:RL:NONVAL:CAR:1995:981,CarabidBeetles,1995,Animalia,Harpalus nitidulus,Harpalus fulgens,,,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus nitidulus,
INBO:RL:NONVAL:CAR:1995:990,CarabidBeetles,1995,Animalia,Harpalus sabulicola,Ophonus sabulicola,,Zandhalmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE_done,
INBO:RL:NONVAL:DOL:2000:1642,DolichopodidFlies,2000,Animalia,Medetera sp. n.,Medetera sp. n.,,,Onvoldoende gekend,DD,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Data Deficient (DD),Data Deficient (DD) / DD,NONE No match because of too little confidence,
INBO:RL:NONVAL:DOL:2000:1644,DolichopodidFlies,2000,Animalia,Medetera takagi?,Medetera takagii,Medetera takagii,,Onvoldoende gekend,DD,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Data Deficient (DD),Data Deficient (DD) / DD,FUZZY_done,1608326
INBO:RL:NONVAL:DOL:2000:1696,DolichopodidFlies,2000,Animalia,Sybistroma obscurellum,Sybistroma obscurellus,Sybistroma obscurellus,,Momenteel niet bedreigd,LC,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,FUZZY_done,1603823
INBO:RL:NONVAL:DOL:2000:1699,DolichopodidFlies,2000,Animalia,Syntormon aulicum,Syntormon aulicus,Syntormon aulicus,,Kwetsbaar,VU,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Vulnerable (VU),Vulnerable (VU) / VU,FUZZY_done,1603938
INBO:RL:NONVAL:DOL:2000:1701,DolichopodidFlies,2000,Animalia,Syntormon denticulatum,Syntormon denticulatus,Syntormon pumilus,,Momenteel niet bedreigd,LC,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,FUZZY_done,1603929
INBO:RL:NONVAL:DOL:2000:1707,DolichopodidFlies,2000,Animalia,Syntormon pumilum,Syntormon pumilus,Syntormon pumilus,,Momenteel niet bedreigd,LC,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,FUZZY_done,1603927
INBO:RL:NONVAL:DOL:2000:1708,DolichopodidFlies,2000,Animalia,Syntormon tarsatum,Syntormon tarsatus,Syntormon tarsatus,,Zeldzaam (zeer zeldzaam),NT,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT) (very rare),Near Threatened (NT) (very rare) / NT,FUZZY_done,1604033
INBO:RL:NONVAL:DOL:2000:1712,DolichopodidFlies,2000,Animalia,Systenus scholtzii,Systenus scholtzi,Systenus scholtzi,,Zeldzaam (zeer zeldzaam),NT,,Regional,Pollet_2000,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT) (very rare),Near Threatened (NT) (very rare) / NT,FUZZY_done,5083267
INBO:RL:NONVAL:EMP:2001:1892,EmpididFlies,2001,Animalia,Elaphropeza ephippiata,Drapetis ephippiata,,,Momenteel niet bedreigd,LC,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE_done,
INBO:RL:NONVAL:EMP:2001:1909,EmpididFlies,2001,Animalia,Empis near acinerea,Empis acinerea,,,Onvoldoende gekend,DD,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Data Deficient (DD),Data Deficient (DD) / DD,NONE_done,
INBO:RL:NONVAL:EMP:2001:1967,EmpididFlies,2001,Animalia,Hilara quadrivittata,Hilara quadrivitata,Hilara quadrivitata,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,5079401
INBO:RL:NONVAL:EMP:2001:2008,EmpididFlies,2001,Animalia,Platypalpus coxatus,Platypalpus annulipes,,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE_done,
INBO:RL:NONVAL:EMP:2001:2028,EmpididFlies,2001,Animalia,Platypalpus maculimana,Platypalpus articulatus,Platypalpus articulatus,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,4514760
INBO:RL:NONVAL:EMP:2001:2037,EmpididFlies,2001,Animalia,Platypalpus ochrocerus,Platypalpus ochrocera,Platypalpus ochrocera,,Onvoldoende gekend,DD,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Data Deficient (DD),Data Deficient (DD) / DD,FUZZY_done,1457565
INBO:RL:NONVAL:FIS:1998:2121,FreshwaterFishes,1998,Animalia,Alosa fallax,"Alosa fallax (Lacepède, 1803)",,Fint,Uitgestorven in Vlaanderen,RE,LC,Regional,VandelannooteCoeck_1998,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Alosa fallax,
INBO:RL:NONVAL:FIS:1998:2133,FreshwaterFishes,1998,Animalia,Coregonus oxyrynchus,Coregonus oxyrinchus,Coregonus oxyrinchus,Houting,Uitgestorven in Vlaanderen,RE,RE,Regional,VandelannooteCoeck_1998,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,FUZZY_done,2351155
INBO:RL:NONVAL:FIS:1998:2152,FreshwaterFishes,1998,Animalia,Noemacheilus barbatula,Barbatula barbatula,Barbatula barbatula,Bermpje,Momenteel niet bedreigd,LC,LC,Regional,VandelannooteCoeck_1998,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,FUZZY_done,2357595
INBO:RL:NONVAL:FUN:1999:2679,Macrofungi,1999,Fungi,Boletus badius,"Boletus badius Pers., 1801",,Kastanjeboleet,Momenteel niet bedreigd,LC,,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE Multiple equal matches for Boletus badius,
INBO:RL:NONVAL:FUN:1999:2687,Macrofungi,1999,Fungi,Boletus fraternus ss. O.,Boletus fraternus,,Wijnrode boleet,Waarschijnlijk bedreigd,DD(PT),,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Probably Endangered,Probably Endangered / DD(PT),NONE_done,
INBO:RL:NONVAL:FUN:1999:2691,Macrofungi,1999,Fungi,Boletus parasiticus,"Boletus parasiticus Bull., 1790",,Kostgangerboleet,Momenteel niet bedreigd,LC,,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE Multiple equal matches for Boletus parasiticus,
