Id;UniqueID;verbatimScientificName;scientificNameFirstMatch;scientificNameDirk;Dimi's comment;gbifapi_matchType;gbifapi_species;vernacularname;gbifapi_matchTypeEERSTEMATCH;gbifapi_usageKey;gbifapi_acceptedKey;gbifapi_acceptedScientificName;gbifapi_canonicalName;gbifapi_class;gbifapi_classKey;gbifapi_confidence;gbifapi_family;gbifapi_familyKey;gbifapi_genus;gbifapi_genusKey;gbifapi_kingdom;gbifapi_kingdomKey;;gbifapi_rank;gbifapi_scientificName;gbifapi_species;gbifapi_status;gbifapi_synonym
2;INBO:RL:NONVAL:ANT:2013:39;Formica rufa x polyctena;;Formica rufa x polyctena;niks aan te doen;NONE;;hybride van Formica rufa-complex;NONE_done;;;;;;;;;;;;;;;;;;;
16;INBO:RL:NONVAL:CAR:1995:840;Bembidion maritimum;Bembidion maritimum (Motschulsky 1850);Bembidion maritimum (Stephens, 1835);ok;EXACT;;Brakwaterpriemkever;NONE Multiple equal matches for Bembidion maritimum;;7582513;Tachys bistriatus (Duftschmid, 1812);Bembidion maritimum;Insecta;216;100;Carabidae;3792;Tachys;8186901;Animalia;1;;SPECIES;Bembidion maritimum (Stephens, 1839);Tachys bistriatus;SYNONYM;True
19;INBO:RL:NONVAL:CAR:1995:865;Bembidion velox;Bembidion velox Erichson 1837;Bembidion velox (Linnaeus, 1760);scientificNameFirstMatch kiezen;NONE Multiple equal matches for Bembidion velox;;Snelle priemkever;NONE Multiple equal matches for Bembidion velox;;;;;;;;;;;;;;;;;;;
22;INBO:RL:NONVAL:CAR:1995:968;Harpalus cordatus;Harpalus cordatus (LeConte 1853);Ophonus cordatus;ok;EXACT;;Duinhalmklimmer;NONE Multiple equal matches for Harpalus cordatus;;9178241;Ophonus cordatus (Duftschmid, 1812);Ophonus cordatus;Insecta;216;100;Carabidae;3792;Ophonus;4475086;Animalia;1;;SPECIES;Ophonus cordatus (Duftschmid, 1812);Ophonus cordatus;ACCEPTED;False
25;INBO:RL:NONVAL:CAR:1995:981;Harpalus nitidulus;Harpalus fulgens;Ophonus laticollis;ok;EXACT;;!!Groene halmklimmer;NONE Multiple equal matches for Harpalus nitidulus;;4475157;Ophonus laticollis Mannerheim, 1825;Ophonus laticollis;Insecta;216;100;Carabidae;3792;Ophonus;4475086;Animalia;1;;SPECIES;Ophonus laticollis Mannerheim, 1825;Ophonus laticollis;ACCEPTED;False
37;INBO:RL:NONVAL:EMP:2001:1967;Hilara quadrivittata;Hilara quadrivitata;Hilara quadrivittata;scientificNameFirstMatch kiezen;FUZZY;Hilara quadrivitata;;FUZZY_done;5079401;5079401;Hilara quadrivitata Meigen, 1822;Hilara quadrivitata;Insecta;216;99;Empididae;9483;Hilara;1551099;Animalia;1;;SPECIES;Hilara quadrivitata Meigen, 1822;Hilara quadrivitata;ACCEPTED;False
39;INBO:RL:NONVAL:EMP:2001:2028;Platypalpus maculimana;Platypalpus articulatus;Platypalpus maculimanus??;ok;EXACT;Platypalpus articulatus;;FUZZY_done;4514760;1457973;Platypalpus articulatus Macquart, 1827;Platypalpus maculimanus;Insecta;216;100;Hybotidae;9706;Platypalpus;1457232;Animalia;1;;SPECIES;Platypalpus maculimanus (Zetterstedt, 1842) Zetterstedt, 1842;Platypalpus articulatus;SYNONYM;True
40;INBO:RL:NONVAL:EMP:2001:2037;Platypalpus ochrocerus;Platypalpus ochrocera;Platypalpus ochrocerus;scientificNameFirstMatch kiezen;FUZZY;Platypalpus ochrocera;;FUZZY_done;1457565;1457565;Platypalpus ochrocera (Collin, 1961);Platypalpus ochrocera;Insecta;216;99;Hybotidae;9706;Platypalpus;1457232;Animalia;1;;SPECIES;Platypalpus ochrocera (Collin, 1961);Platypalpus ochrocera;ACCEPTED;False
44;INBO:RL:NONVAL:FUN:1999:2679;Boletus badius;Boletus badius Pers. 1801;Xerocomus badius;ok;EXACT;;Kastanjeboleet;NONE Multiple equal matches for Boletus badius;;9217057;Xerocomus badius (Fr. : Fr.) E.-J. Gilbert;Xerocomus badius;Agaricomycetes;186;100;Boletaceae;8789;Xerocomus;2519224;Fungi;5;;SPECIES;Xerocomus badius (Fr. : Fr.) E.-J. Gilbert;Xerocomus badius;ACCEPTED;False
45;INBO:RL:NONVAL:FUN:1999:2687;Boletus fraternus ss. O.;Boletus fraternus;Xerocomus fraternus;scientificNameFirstMatch kiezen;NONE;;Wijnrode boleet;NONE_done;;;;;;;;;;;;;;;;;;;
46;INBO:RL:NONVAL:FUN:1999:2691;Boletus parasiticus;Boletus parasiticus Bull. 1790;Pseudoboletus parasiticus;ok;EXACT;;Kostgangerboleet;NONE Multiple equal matches for Boletus parasiticus;;8308057;Pseudoboletus parasiticus (Bull.) Šutara, 1991;Pseudoboletus parasiticus;Agaricomycetes;186;100;Boletaceae;8789;Pseudoboletus;2524802;Fungi;5;;SPECIES;Pseudoboletus parasiticus (Bull.) Šutara, 1991;Pseudoboletus parasiticus;ACCEPTED;False
49;INBO:RL:NONVAL:FUN:1999:2887;Lactarius omphaliformis;Lactarius omphaliiformis;Lactarius omphaliformis;scientificNameFirstMatch kiezen;FUZZY;Lactarius omphaliiformis;Rossige elzenmelkzwam;FUZZY_done;5248613;5248613;Lactarius omphaliiformis Romagn., 1974;Lactarius omphaliiformis;Agaricomycetes;186;99;Russulaceae;7609;Lactarius;2532156;Fungi;5;;SPECIES;Lactarius omphaliiformis Romagn., 1974;Lactarius omphaliiformis;ACCEPTED;False
50;INBO:RL:NONVAL:FUN:1999:2934;Lentinus lepideus;Neolentinus lepideus (Fr.) Redhead & Ginns 1985;Neolentinus lepideus;ok;EXACT;;Schubbige taaiplaat;NONE Multiple equal matches for Lentinus lepideus;;2548846;Neolentinus lepideus (Fr.) Redhead & Ginns, 1985;Neolentinus lepideus;Agaricomycetes;186;100;Polyporaceae;3286;Neolentinus;8312950;Fungi;5;;SPECIES;Neolentinus lepideus (Fr.) Redhead & Ginns, 1985;Neolentinus lepideus;ACCEPTED;False
54;INBO:RL:NONVAL:HOV:1998:2443;Eristalis horticola;Eristalis lineata;Eristalis horticola;scientificNameFirstMatch kiezen;NONE;;Bosbijvlieg;NONE_done;;;;;;;;;;;;;;;;;;;
55;INBO:RL:NONVAL:HOV:1998:2444;Eristalis interruptus;Eristalis interrupta;"	Eristalis nemorum";scientificNameFirstMatch kiezen;NONE;Eristalis interrupta;!!Puntbijvlieg;FUZZY_done;1541277;;;;;;;;;;;;;;;;;;
56;INBO:RL:NONVAL:HOV:1998:2447;Eristalis piceus;Eristalis rupium;Eristalis piceea;Eristalis picea;FUZZY;Eristalis rupium;Veenbijvlieg;FUZZY_done;4516879;1541339;Eristalis rupium Fabricius, 1805;Eristalis picea;Insecta;216;99;Syrphidae;6920;Eristalis;1491190;Animalia;1;;SPECIES;Eristalis picea (Fallen, 1817) Fallen, 1817;Eristalis rupium;SYNONYM;True
61;INBO:RL:NONVAL:HOV:1998:2487;Melanogaster macquarti;;Melanogaster macquarti;ok, kan niet matchen;NONE;;;NONE_done;;;;;;;;;;;;;;;;;;;
66;INBO:RL:NONVAL:HOV:1998:2566;Pyrophaena granditarsa;Platycheirus granditarsus (Forster 1771);"	Pyrophaena granditarsa";scientificNameFirstMatch kiezen;NONE;;Klompvoetje;NONE_done;;;;;;;;;;;;;;;;;;;
68;INBO:RL:NONVAL:HOV:1998:2577;Sphaerophoria loewi;Sphaerophoria loewii;Sphaerophoria loewi;scientificNameFirstMatch kiezen;FUZZY;Sphaerophoria loewii;Zilte langlijf;FUZZY_done;1539169;1539169;Sphaerophoria loewii Zetterstedt, 1843;Sphaerophoria loewii;Insecta;216;99;Syrphidae;6920;Sphaerophoria;1539106;Animalia;1;;SPECIES;Sphaerophoria loewii Zetterstedt, 1843;Sphaerophoria loewii;ACCEPTED;False
71;INBO:RL:NONVAL:HOV:1998:2605;Xanthogramma festivum;Xanthogramma festiva;"	Xanthogramma citrofasciatum";ok;EXACT;Xanthogramma festiva;!!Streepcitroenzweefvlieg;FUZZY_done;5071293;5766549;Xanthogramma citrofasciatum (De Geer, 1776) De Geer, 1776;Xanthogramma citrofasciatum;Insecta;216;100;Syrphidae;6920;Xanthogramma;1538494;Animalia;1;;SPECIES;Xanthogramma citrofasciatum (De Geer, 1776) De Geer, 1776;Xanthogramma citrofasciatum;ACCEPTED;False
74;INBO:RL:NONVAL:MAM:1994:3220;Felis catus;Felis catus Linnaeus 1758;Felis catus (Linnaeus 1758);scientificNameFirstMatch kiezen;NONE Multiple equal matches for Felis catus;;Huiskat;NONE Multiple equal matches for Felis catus;;;;;;;;;;;;;;;;;;;
77;INBO:RL:NONVAL:MAM:1994:3233;Mustela furo x putorius;Mustela putorius subsp. furo;Mustela furo;ok;EXACT;;Fret;NONE_done;;5816581;Mustela furo Linnaeus, 1758;Mustela furo;Mammalia;359;100;Mustelidae;5307;Mustela;2433922;Animalia;1;;SPECIES;Mustela furo Linnaeus, 1758;Mustela furo;ACCEPTED;False
82;INBO:RL:NONVAL:MOL:2006:3425;Discus ruderatus ruderatus;Discus ruderatus;Helix ruderata;ok;EXACT;;Bruine discusslak;NONE_done;;7461128;Helix ruderata Férussac, 1821;Helix ruderata;Gastropoda;225;100;Helicidae;6540;Helix;2290984;Animalia;1;;SPECIES;Helix ruderata Férussac, 1821;Helix ruderata;ACCEPTED;False
85;INBO:RL:NONVAL:MOL:2006:3477;Trichia striolata abludens;Trichia striolata;"	Trochulus striolatus";ok;EXACT;;'Rosse haarslak';NONE_done;;8148451;Trochulus striolatus (C. Pfeiffer, 1828) C. Pfeiffer, 1828;Trochulus striolatus;Gastropoda;225;100;Hygromiidae;2627;Trochulus;7524401;Animalia;1;;SPECIES;Trochulus striolatus (C. Pfeiffer, 1828) C. Pfeiffer, 1828;Trochulus striolatus;ACCEPTED;False
86;INBO:RL:NONVAL:MOL:2006:3496;Zonitoides nitidus;Zonitoides nitida;Zonitoides nitidus;scientificNameFirstMatch kiezen;FUZZY;Zonitoides nitida;Donkere glansslak;FUZZY_done;2295422;2295422;Zonitoides nitida (O. F. Müller, 1774);Zonitoides nitida;Gastropoda;225;99;Gastrodontidae;4562841;Zonitoides;2295419;Animalia;1;;SPECIES;Zonitoides nitida (O. F. Müller, 1774);Zonitoides nitida;ACCEPTED;False
87;INBO:RL:NONVAL:REP:1996:3501;Vipera berus;Vipera berus (Linnaeus 1758);Vipera berus Linnaeus 1758;ok;EXACT;;Adder;NONE Multiple equal matches for Vipera berus;;5960862;Vipera berus (Linnaeus, 1758) Linnaeus, 1758;Vipera berus;Reptilia;358;100;Viperidae;5024;Vipera;2469892;Animalia;1;;SPECIES;Vipera berus (Linnaeus, 1758) Linnaeus, 1758;Vipera berus;DOUBTFUL;False
98;INBO:RL:NONVAL:SPI:1998:3679;Dipoena inornata;Dipoena inornata (O. P.-Cambridge 1861);Phycosoma inornatum;ok;NONE;;!!Zijden galspin;NONE Multiple equal matches for Dipoena inornata;;;;;;;;;;;;;;;;;;;
101;INBO:RL:NONVAL:SPI:1998:3695;Enoplognata pallens;Paidiscura pallens ??;Paidiscura pallens;ok;EXACT;;!!Kleine boskogelspin;NONE_done;;2155831;Paidiscura pallens (Blackwall, 1834);Paidiscura pallens;Arachnida;367;100;Theridiidae;9583;Paidiscura;2155829;Animalia;1;;SPECIES;Paidiscura pallens (Blackwall, 1834);Paidiscura pallens;ACCEPTED;False
108;INBO:RL:NONVAL:SPI:1998:3794;Lepthyphantes cristatus;Leptyphantes cristatus;Tenuiphanthes cristatus;ok;NONE;;Knobbel bodemwevertje;NONE_done;;;;;;;;;;;;;;;;;;;
109;INBO:RL:NONVAL:SPI:1998:3796;Lepthyphantes flavipes;Leptyphantes flavipes;Tenuiphanthes flavipes;ok;NONE;;Klein bodemwevertje;NONE_done;;;;;;;;;;;;;;;;;;;
114;INBO:RL:NONVAL:SPI:1998:3805;Lepthyphantes tenebricola;Leptyphantes tenebricola;Tenuiphantes tenebricola;ok;EXACT;;Weide-bodemwevertje;NONE_done;;2135968;Tenuiphantes tenebricola (Wider, 1834);Tenuiphantes tenebricola;Arachnida;367;100;Linyphiidae;3415;Tenuiphantes;2135952;Animalia;1;;SPECIES;Tenuiphantes tenebricola (Wider, 1834);Tenuiphantes tenebricola;ACCEPTED;False
120;INBO:RL:NONVAL:SPI:1998:3991;Sintula cornigera;Sintula corniger ??;Sintula corniger;ok;EXACT;;Bonte moeraswielspin;NONE_done;;2135122;Sintula corniger (Blackwall, 1856);Sintula corniger;Arachnida;367;100;Linyphiidae;3415;Sintula;2135113;Animalia;1;;SPECIES;Sintula corniger (Blackwall, 1856);Sintula corniger;ACCEPTED;False
127;INBO:RL:NONVAL:SPI:1998:4063;Trichoncus hackmanni;Trichoncus hackmani;Trichoncus hackmanni;scientificNameFirstMatch kiezen;FUZZY;Trichoncus hackmani;Strand-kontrastpootje;FUZZY_done;2134461;2134461;Trichoncus hackmani Millidge, 1955;Trichoncus hackmani;Arachnida;367;99;Linyphiidae;3415;Trichoncus;2134447;Animalia;1;;SPECIES;Trichoncus hackmani Millidge, 1955;Trichoncus hackmani;ACCEPTED;False
133;INBO:RL:NONVAL:WBE:1994:5315;Coelambus parallellogrammus;Coelambus parallelogrammus;Hygrotus parallellogrammus;ok;EXACT;Coelambus parallelogrammus;;FUZZY_done;4308860;4469984;Hygrotus parallellogrammus (Ahrens, 1812);Hygrotus parallellogrammus;Insecta;216;100;Dytiscidae;7824;Hygrotus;1038557;Animalia;1;;SPECIES;Hygrotus parallellogrammus (Ahrens, 1812);Hygrotus parallellogrammus;ACCEPTED;False
134;INBO:RL:NONVAL:WBE:1994:5362;Haliplus wehnkei;Haliplus wehnckei;Haliplus sibiricus;ok;EXACT;;;NONE_done;;4470349;Haliplus sibiricus Motschulsky, 1860;Haliplus sibiricus;Insecta;216;100;Haliplidae;6984;Haliplus;1044394;Animalia;1;;SPECIES;Haliplus sibiricus Motschulsky, 1860;Haliplus sibiricus;ACCEPTED;False
135;INBO:RL:NONVAL:WBE:1994:5404;Nartus grapii;Rhantus grapii;Rhantus grapii;ok;EXACT;Rhantus grapii;;FUZZY_done;8501267;4989395;Rhantus grapii (Gyllenhal, 1808);Rhantus grapii;Insecta;216;100;Dytiscidae;7824;Rhantus;4989381;Animalia;1;;SPECIES;Rhantus grapii (Gyllenhal, 1808);Rhantus grapii;ACCEPTED;False
136;INBO:RL:NONVAL:WBE:1994:5412;Potamonectus canaliculatus;Potamonectes canaliculatus;Nebrioporus canaliculatus;ok;EXACT;;;NONE_done;;4470218;Nebrioporus canaliculatus (Lacordaire, 1835);Nebrioporus canaliculatus;Insecta;216;100;Dytiscidae;7824;Nebrioporus;1037896;Animalia;1;;SPECIES;Nebrioporus canaliculatus (Lacordaire, 1835);Nebrioporus canaliculatus;ACCEPTED;False
137;INBO:RL:NONVAL:WBE:1994:5413;Potamonectus depressus elegans;Potamonectes depressus ??;Nebrioporus elegans;ok;EXACT;;;NONE_done;;4470194;Nebrioporus elegans (Panzer, 1794);Nebrioporus elegans;Insecta;216;100;Dytiscidae;7824;Nebrioporus;1037896;Animalia;1;;SPECIES;Nebrioporus elegans (Panzer, 1794);Nebrioporus elegans;ACCEPTED;False
142;INBO:RL:NONVAL:WBU:2001:5490;Cymatia bonsdorffii;Cymatia bonsdorffi;Cymatia bonsdorffii;scientificNameFirstMatch kiezen;FUZZY;Cymatia bonsdorffi;Veenzwemmertje;FUZZY_done;6453952;6453952;Cymatia bonsdorffi (Sahlberg, 1819);Cymatia bonsdorffi;Insecta;216;99;Corixidae;6988;Cymatia;2049917;Animalia;1;;SPECIES;Cymatia bonsdorffi (Sahlberg, 1819);Cymatia bonsdorffi;ACCEPTED;False
